ID,BD,LF,NL,AY,WRaps,SM,WW,WG,ZR,WT,WR,AG,WT_Bio,SG_Bio,LU_Bio,ZR_Bio,WW_Bio,SM_Bio,Wraps_Bio,WG_Bio,PAST,PASE,FRSD,URLD,linE,Nmin,Norg,Pmin,Porg,SQ,BAU,LSH,LSP,OrgCrops_total,N_total,P_total,UNIT_000010080,UNIT_000020041,UNIT_000020043,UNIT_000020047,UNIT_000010081,UNIT_000010054,UNIT_000010168,UNIT_000010069,UNIT_000010061,UNIT_000010074,UNIT_000020070,UNIT_000010130,UNIT_000010123,UNIT_000010105,UNIT_000010058,UNIT_000010073,UNIT_000010078,UNIT_000020044,UNIT_000020077,UNIT_000010062,UNIT_000010111,UNIT_000010057,UNIT_000010071,UNIT_000020046,UNIT_000010075,UNIT_000010127,UNIT_000010118,UNIT_000010117,UNIT_000010046,UNIT_000010047,UNIT_000010133,UNIT_000010170,UNIT_000020052,UNIT_000020040,UNIT_000010121,UNIT_000010132,UNIT_000010092,UNIT_000010098,UNIT_000010055,UNIT_000020054,UNIT_000020088,UNIT_000020086,UNIT_000020069,UNIT_000020067,UNIT_000010068,UNIT_000010125,UNIT_000010112,UNIT_000010131,UNIT_000010205,UNIT_000020072,UNIT_000020050,UNIT_000010116,UNIT_000010126,UNIT_000020045,UNIT_000020074,UNIT_000010152,UNIT_000010070,UNIT_000010209,UNIT_000010072,UNIT_000010100,UNIT_000010179,UNIT_000010122,UNIT_000010079,UNIT_000010049,UNIT_000010119,UNIT_000070047,UNIT_000070099,UNIT_000070045,UNIT_000070082,UNIT_000070112,UNIT_000070075,UNIT_000010201,UNIT_000010056,UNIT_000010163,UNIT_000010199,UNIT_000010147,UNIT_000070078,UNIT_000070051,UNIT_000070084,UNIT_000010048,UNIT_000010171,UNIT_000010052,UNIT_000070050,UNIT_000070079,UNIT_000070081,UNIT_000070090,UNIT_000070057,UNIT_000030005,UNIT_000070046,UNIT_000010165,UNIT_000010045,UNIT_000010064,UNIT_000040001,UNIT_000030008,UNIT_000030010,UNIT_000010103,UNIT_000030009,UNIT_000070056,UNIT_000070080,UNIT_000070042,UNIT_000040003,UNIT_000030006,UNIT_000030019,UNIT_000060048,UNIT_000010102,UNIT_000070083,UNIT_000060027,UNIT_000060026,UNIT_000060066,UNIT_000060068,UNIT_000060082,UNIT_000070073,UNIT_000050054,UNIT_000050053,UNIT_000050025,UNIT_000060023,UNIT_000060024,UNIT_000010060,UNIT_000050050,UNIT_000010128,UNIT_000050027,UNIT_000060019,UNIT_000060062,UNIT_000050026,UNIT_000060046,UNIT_000050030,UNIT_000060076,UNIT_000050028,UNIT_000070043,UNIT_000050052,UNIT_000010066,UNIT_000080020,UNIT_000050032,UNIT_000080029,UNIT_000080027,UNIT_000070053,UNIT_000080031,UNIT_000080038,UNIT_000080040,UNIT_000060025,UNIT_000010104,UNIT_000080043,UNIT_000080028,UNIT_000080053,UNIT_000080025,UNIT_000070044,UNIT_000080048,UNIT_000050051,UNIT_000050056,UNIT_000050041,UNIT_000080019,UNIT_000060018,UNIT_000050042,UNIT_000050022,UNIT_000080049,UNIT_000080045,UNIT_000050046,UNIT_000080026,UNIT_000080041,UNIT_000010063,UNIT_000050033,UNIT_000080036,UNIT_000090060,UNIT_000090057,UNIT_000090040,UNIT_000090055,UNIT_000090077,UNIT_000090037,UNIT_000090043,UNIT_000080023,UNIT_000090045,UNIT_000060022,UNIT_000090035,UNIT_000090059,UNIT_000050029,UNIT_000090038,UNIT_000090042,UNIT_000090066,UNIT_000090058,UNIT_000090080,UNIT_000090036,UNIT_000090062,UNIT_000090034,UNIT_000090053,UNIT_000090061
1_2,0.2,90.3321,11314.13,3.481262,20.70830525,13.45147384,28.98640334,14.48638131,1.034907461,0,6.221923937,0,1.021266675,1.021266675,2.042533365,0,0,0,0,0,10.64822605,0.301590794,0,0.075721294,0.804857585,98.55512086,65.31849367,12.43858268,41.00513746,0.999242787,0,0.000757213,0,4.085066715,163.8736145,53.44372014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1_125,28.4,91.8829,9729.03,2.608958,9.191808367,15.54500082,33.21552472,15.4692596,0.732993079,0,6.519706281,1.561023594,0.370516587,0.70586086,0.30114274,0.555289491,1.115856066,0.555289491,0.230499402,0.455721713,7.797998887,2.986137179,0.156620112,2.533750987,0.787727159,83.13812149,51.84606771,16.77203867,32.17459632,0.139184799,0.286996648,0.479820599,0.093997955,4.29017635,134.9841892,48.94663499,1,1,2,4,3,3,2,3,3,3,1,3,2,2,4,2,3,2,2,2,2,2,2,4,2,2,2,2,1,3,4,3,3,3,4,3,4,3,3,3,3,2,4,4,1,3,3,2,4,1,3,1,2,2,2,2,1,2,2,2,2,2,2,4,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,1,2,3,3,4,4,1,4,3,1,2,4,2,2,2,2,2,2,1,2,2,2,1,4,1,1,2,4,2,3,3,2,3,3,3,3,3,3,2,3,2,3,2,3,2,4,1,1,1,3,4,1,2,4,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,2,1,3,2,1,3,4,1,2,1,3,1,4,3,2,1,3,2,1,2,1,2,3,3,2,3,2,2,2,4,3,1,3
1_133,3.4,88.3807,12233.4,3.553957,21.9137511,14.23703736,31.11392626,13.31305313,1.412956118,0,5.137164829,0.235763219,0.379673265,0.302003762,0.563795422,0.020106053,0.040212106,0.020106053,0.097775556,0.195551113,10.4877228,0.46209405,0,0.067307817,0.671762848,100.5670175,65.24285724,13.23899594,40.99217822,0.638097519,0.126694021,0.020037019,0.215171441,1.61922333,165.8098748,54.23117416,1,1,2,4,1,4,3,4,1,3,1,1,2,2,2,1,2,1,1,4,1,2,3,4,1,4,1,2,4,2,2,3,1,1,1,1,1,2,1,1,1,1,1,3,4,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,2,3,3,2,2,1,2,2,4,3,1,3
1_137,6.1,88.3264,12225.67,3.538194,21.60843896,14.35279457,31.37860922,13.42881035,1.499194258,0,5.178459182,0.129623969,0.326603641,0.302003762,0.563795422,0.020106053,0.040212106,0.020106053,0.044705932,0.089411863,10.4877228,0.46209405,0,0.067307817,0.674815242,100.4006985,64.91487556,13.40148313,40.74556559,0.623231552,0.126694021,0.028003935,0.222070492,1.406944831,165.3155741,54.14704872,1,1,2,4,1,4,3,4,1,3,1,1,2,2,2,1,2,1,1,4,1,2,4,4,1,4,1,2,4,2,2,3,1,1,1,1,1,2,1,1,1,1,1,3,4,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,2,3,3,2,2,1,2,2,4,3,1,3
1_147,27.8,91.6286,9998.42,2.739559,10.79499145,15.19806022,32.82111851,15.13435675,0.785091918,0,6.350345643,1.488538253,0.334273916,0.70586086,0.30114274,0.555289491,1.115856066,0.555289491,0.194256732,0.383236371,7.847832559,2.936303506,0.156620112,2.341535395,0.764697907,85.14133984,53.2540936,16.12019878,33.12207691,0.177148996,0.316204357,0.411431974,0.095214673,4.145205667,138.3954334,49.24227569,1,1,2,4,3,3,2,3,3,4,1,3,2,2,4,2,3,2,2,2,2,2,2,4,2,2,2,2,1,3,4,3,3,2,2,3,4,1,1,2,1,1,4,4,1,3,3,1,3,1,3,1,2,2,2,2,1,2,2,2,2,2,2,4,4,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,3,3,1,2,3,3,4,4,1,4,3,1,2,4,2,3,3,3,1,3,2,3,4,3,3,1,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,2,3,2,4,1,1,1,3,4,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,2,1,3,2,2,3,4,1,2,1,3,1,4,3,2,1,3,2,1,2,1,2,3,3,3,3,2,2,2,4,3,1,3
1_167,6.5,89.2757,11937.08,3.501934,21.32706291,14.2984509,31.34230141,13.24198677,1.317576411,0,5.058811905,0.348374374,0.4320957,0.298120619,0.556029135,0.020106053,0.040212106,0.020106053,0.154081134,0.308162268,10.41588464,0.5339322,0,0.286705412,0.677105817,99.71596467,64.44787738,13.50216232,40.48699406,0.575818372,0.154296698,0.047853269,0.222031661,1.828913067,164.1638421,53.98915637,1,1,2,4,1,4,3,4,1,3,1,1,2,2,2,1,2,4,1,4,1,2,3,4,1,4,1,2,4,2,2,3,1,1,1,1,1,2,1,1,1,1,1,3,3,1,1,1,2,1,1,2,1,1,1,1,1,1,4,1,1,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,1,1,1,2,1,1,3,1,1,1,1,1,2,1,2,2,2,3,3,2,1,3,4,1,1,3,2,1,1,1,1,1,1,1,1,4,1,2,3,3,2,2,1,1,2,2,3,1,3
1_184,6.2,89.4479,11974.98,3.510021,21.15903743,14.27138871,31.69109933,13.34036552,1.444166112,0,5.118607888,0.231707491,0.340425781,0.333213756,0.557785795,0.05432086,0.108641719,0.05432086,0.061532886,0.123065772,10.48642841,0.463388431,0,0.160503255,0.66650947,99.58227256,64.05291552,13.49890625,40.20606106,0.534326987,0.204887583,0.038423703,0.222361728,1.633307429,163.6351881,53.70496731,1,1,2,4,1,4,4,4,1,2,1,1,2,2,4,2,1,2,1,4,1,2,3,4,1,4,1,2,4,3,2,3,1,1,1,1,1,2,2,1,1,1,1,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,3,4,1,2,1,1,4,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,1,1,1,2,1,1,3,1,1,1,1,1,2,1,2,2,2,3,3,2,1,3,4,1,1,3,2,1,1,1,1,1,1,1,1,4,1,2,3,3,2,2,1,1,2,1,3,1,3
1_192,6.4,89.2243,11918.65,3.512927,21.33288277,14.28057107,31.42245993,13.34954788,1.444166112,0,5.123199067,0.231707491,0.340425781,0.333213756,0.557785795,0.05432086,0.108641719,0.05432086,0.061532886,0.123065772,10.27738587,0.672430977,0,0.232341406,0.666945086,99.87156985,64.35113156,13.43108168,40.3917353,0.574718149,0.167428194,0.035711974,0.222141683,1.633307429,164.2227014,53.82281698,1,1,2,4,1,4,4,4,1,2,1,1,2,2,4,2,1,2,1,4,1,2,3,4,1,4,2,2,4,2,2,3,1,1,1,1,2,2,1,1,1,1,1,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,1,1,1,2,1,1,3,1,1,1,1,1,2,1,2,2,2,3,3,2,1,3,4,1,1,3,2,1,1,1,1,1,1,1,1,4,1,2,3,3,2,2,1,1,2,4,3,1,3
1_204,6.2,88.4122,12079.15,3.52663,21.43353335,14.28554116,31.42458405,13.33283709,1.444166112,0,5.10400323,0.231707491,0.340425781,0.333213756,0.557785795,0.05432086,0.108641719,0.05432086,0.061532886,0.123065772,10.48642841,0.463388431,0,0.160503255,0.664188757,100.0360826,64.53517461,13.42300261,40.51327278,0.57927437,0.166709813,0.030825686,0.223190132,1.633307429,164.5712572,53.93627539,1,1,2,4,1,4,4,4,1,2,1,1,2,2,4,2,1,2,1,4,1,2,3,4,1,4,1,2,4,2,2,3,1,1,1,1,1,2,1,1,1,1,1,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,2,4,3,2,1,3,4,1,1,3,2,1,1,1,1,1,1,1,1,4,1,2,3,3,2,2,1,1,2,2,3,1,3
1_208,6.6,89.2471,11985.97,3.508431,21.21999759,14.2479621,31.52194035,13.18149782,1.317460615,0.009884365,5.025261715,0.394195464,0.407548687,0.296484151,0.506935109,0.043016598,0.086033196,0.043016598,0.154081134,0.308162268,10.2068421,0.742974747,0,0.286705412,0.675560711,99.40679201,64.00666756,13.4912294,40.21078316,0.530812742,0.195004983,0.049943694,0.22423858,1.845277743,163.4134596,53.70201256,4,1,2,4,1,4,3,4,1,3,1,1,2,2,2,2,2,4,1,4,1,2,3,4,1,4,1,2,4,2,2,3,1,1,1,1,1,2,1,1,1,1,1,3,3,1,1,1,2,1,1,2,1,1,1,1,1,1,4,1,1,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,4,1,1,1,2,1,1,3,1,1,1,1,2,2,1,2,2,2,3,3,2,1,3,4,1,1,3,2,1,1,1,1,1,1,1,1,4,1,2,3,3,2,2,1,1,2,4,3,1,3
