,WRaps,SM,WW,WG,ZR,WT,WR,AG,WT_Bio,SG_Bio,LU_Bio,ZR_Bio,WW_Bio,SM_Bio,Wraps_Bio,WG_Bio,PAST,PASE,FRSD,URLD,linE,Nmin,Norg,Pmin,Porg,SQ,BAU,LSH,LSP,OrgCrops_total,N_total,P_total
WRaps,1.0,-0.8968673846225359,-0.8507762958874342,-0.9622973215998134,0.8801554259683518,0.5106617712817136,-0.9422301362824331,-0.8330755134060006,-0.6075076296607327,0.09681296247721997,0.4916872483887404,-0.1933625804576231,-0.1996614080902451,-0.1933625804576231,-0.7883564978070076,-0.7864900493779977,0.833164604106224,-0.8342449416083261,-0.35730827851370656,-0.46343094757046777,-0.9424439848797656,0.9969681763404704,0.9887526848841278,-0.9698847565853963,0.9873515605579336,0.8327441256294574,0.3125284662846401,-0.9840687714537528,0.8678529594987971,-0.7574896139254306,0.9972704771169768,0.9583035654383935
SM,-0.8968673846225359,1.0,0.9631381426873009,0.9172618656106147,-0.6984895647435773,-0.43348513115062026,0.8643850018135582,0.5699262839774116,0.6611295430647882,-0.3864393856030546,-0.36343653591414077,-0.1526212377277355,-0.14656050709394827,-0.1526212377277355,0.773712384144398,0.7721892598538506,-0.8198070010464213,0.8182701763471117,0.15743521670461263,0.15408944632412422,0.8464998600013474,-0.8819098381051323,-0.8965574495999447,0.9679134320157576,-0.900077545099195,-0.6774556381941377,-0.6285829545643126,0.9416673356103197,-0.6479270966924788,0.4479344148397519,-0.8909905261847968,-0.8033669347406109
WW,-0.8507762958874342,0.9631381426873009,1.0,0.8567612626024999,-0.6255601040281277,-0.3911932509550714,0.8022358465726984,0.4972310732739761,0.6194121412160738,-0.4300333007040706,-0.35231496927877876,-0.19996787967150226,-0.19450631531165427,-0.19996787967150226,0.7296028966883078,0.728408393606858,-0.7959445028286015,0.7940229385030543,0.10827056602468636,0.14436787963468248,0.7777779875880481,-0.8354024805150482,-0.8683815975831587,0.9378201812222071,-0.8722017940251799,-0.7292380217555634,-0.5221613071195262,0.8985985415910355,-0.5694681457466193,0.3603674357386823,-0.8516871006854424,-0.7785841124429254
WG,-0.9622973215998134,0.9172618656106147,0.8567612626024999,1.0,-0.8009961236848407,-0.5530458096083208,0.987103673574493,0.7029766842032276,0.6650500715112214,-0.19091446830622608,-0.35857523735542407,0.02808959539349398,0.034702438849006055,0.02808959539349398,0.7771238984614979,0.7750532583452318,-0.8001678557511182,0.8034785610136114,0.23348835806477372,0.2511539777456374,0.968018693897805,-0.9599905840635239,-0.9327930643225849,0.9400403021247228,-0.9323855014370562,-0.6696605230896777,-0.48690474768028935,0.9638815545358388,-0.8852553961560676,0.6391861576536048,-0.9525253589254161,-0.8847059212541468
ZR,0.8801554259683518,-0.6984895647435773,-0.6255601040281277,-0.8009961236848407,1.0,0.48169778258746343,-0.827211241397793,-0.9300371637092457,-0.7248373878730587,0.09531752084198121,0.4978522997797546,-0.1983300716821693,-0.20363156564284238,-0.1983300716821693,-0.8915466117136283,-0.8909385276668248,0.7553096426403763,-0.7584844356833715,-0.3944588748906043,-0.48250783607618686,-0.8760579118215146,0.9064792271536176,0.8670614335766811,-0.8095810155759914,0.85668796969441,0.7513436816221111,0.1920583187566686,-0.8797901313167947,0.8659981417380229,-0.8649175706453649,0.8939059626377935,0.858275010076664
WT,0.5106617712817136,-0.43348513115062026,-0.3911932509550714,-0.5530458096083208,0.48169778258746343,1.0,-0.5825010984426455,-0.4137808412346911,-0.4263009667451621,0.10392081101363627,0.16458131186873243,0.002400515325093796,-0.005516526041660626,0.002400515325093796,-0.47936764538019555,-0.4749630745759106,0.39000067017290824,-0.39320755400778873,-0.10302337176473808,-0.09791152424858955,-0.596602181146645,0.5259379537791666,0.47503752230800217,-0.4575088188593563,0.47046495004371564,0.30906417894754074,0.22127447719246743,-0.5095304040786274,0.5855388814949867,-0.39777042250603806,0.507370366123067,0.4605087920559617
WR,-0.9422301362824331,0.8643850018135582,0.8022358465726984,0.987103673574493,-0.827211241397793,-0.5825010984426455,1.0,0.7215212004912691,0.6934788791119999,-0.22606070595300104,-0.3825617942844075,0.008967114472214745,0.015601765501289638,0.008967114472214745,0.8135177066050436,0.8115980906080398,-0.7741918894607938,0.7798695958057184,0.23503817442707212,0.2497059345538076,0.9762973644792687,-0.9500141066868161,-0.9012072613349634,0.896687872983683,-0.8975339263309728,-0.6352571856214172,-0.4556367698909375,0.9457773924895977,-0.931064157513926,0.6449028642367126,-0.933822435698147,-0.8585244586636928
AG,-0.8330755134060006,0.5699262839774116,0.4972310732739761,0.7029766842032276,-0.9300371637092457,-0.4137808412346911,0.7215212004912691,1.0,0.4283579913759514,0.1315883465402996,-0.6758649065904785,0.5142100320300622,0.5188512869431046,0.5142100320300622,0.7123153314986647,0.7112799850937257,-0.6660928403914486,0.6657566909935544,0.5170373944883039,0.6565301394260645,0.7708100684822803,-0.852564197746566,-0.8247447712746158,0.7231506180056388,-0.8153363113568795,-0.8206191066872887,0.07704359713094601,0.7839569843836225,-0.8062559794049046,0.9243404310547904,-0.844460286127246,-0.8565510174519104
WT_Bio,-0.6075076296607327,0.6611295430647882,0.6194121412160738,0.6650500715112214,-0.7248373878730587,-0.4263009667451621,0.6934788791119999,0.4283579913759514,1.0,-0.4851518732520325,0.039837723071022506,-0.47839604462829877,-0.47397435186523473,-0.47839604462829877,0.8768532214318254,0.8773156252101372,-0.6226395096239142,0.6308602255485879,-0.023586182197288478,-0.11555724881973384,0.731605005217583,-0.6394663962223702,-0.5934306685486126,0.6379972625458238,-0.5851821174977605,-0.30669792795393164,-0.6311301263252121,0.7029414871588154,-0.6299886236793818,0.41047386537918523,-0.6232658413078567,-0.515001303085471
SG_Bio,0.09681296247721997,-0.3864393856030546,-0.4300333007040706,-0.19091446830622608,0.09531752084198121,0.10392081101363627,-0.22606070595300104,0.1315883465402996,-0.4851518732520325,1.0,0.19826673630458902,0.8239938906491324,0.8224335584554238,0.8239938906491324,-0.5244306274514439,-0.5259233194646952,0.235408408664021,-0.23983006825445774,0.2566335028964022,0.3975736462964136,-0.15524998533092946,0.11535808518379874,0.08229082966668204,-0.23732906304918006,0.07630976127030283,-0.021130876320897295,0.6200798154510141,-0.25211857715519553,-0.011541694131577516,0.4127903822075049,0.10247710240195067,-0.062079006080694846
